instance,cutoff,tabu,block_flag,mode,block_size,seed,mode_name,best_obj_min,best_obj_max,objective_value,is_minimize,feasible_found,completed,crashed,timeout_or_no_solution,consistency_error,candidates_total,selected_total,executed_total,repair_success_total,best_update_total,obj_improve_executed_total,violation_improve_executed_total,rejected_by_check_total,wall_time_seconds
chimera_k64ising-01.lp,10,1,1,5,3,10,old_block,,11.5,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.123199774
ball_mk2_10.lp,10,1,1,3,3,12,smart_only,0.0,,0.0,1,1,1,0,0,0,3132000,130500,130500,130500,0,0,130500,0,10.023876118
ball_mk4_15.lp,10,1,1,0,3,10,full_block,-55.0,,-55.0,1,1,1,0,0,0,816238,1,1,1,0,1,1,0,10.040077515
chimera_lga-01.lp,10,0,1,3,2,12,smart_only,,128.2,128.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.621585254
ball_mk3_20.lp,10,1,1,0,2,12,full_block,-5.0,,-5.0,1,1,1,0,0,0,2048660,107627,107627,0,0,109,0,0,10.00826478
graphpart_2g-0055-0062.lp,10,1,1,5,3,12,old_block,-1218526.0,,-1218526.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.004482802
chimera_rfr-01.lp,10,0,0,baseline,0,11,baseline,,1164.7,1164.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.064784709
chimera_mgw-c8-507-onc8-01.lp,10,1,0,baseline,0,12,baseline,,492.0,492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.297293754
chimera_k64maxcut-01.lp,10,1,1,5,2,12,old_block,,11.7,11.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.198351964
ball_mk3_20.lp,10,0,1,2,4,9,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.008814928
chimera_rfr-02.lp,10,0,1,3,3,8,smart_only,,1124.1,1124.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.236676843
ball_mk2_10.lp,10,0,1,1,4,12,repair_only,0.0,,0.0,1,1,1,0,0,0,3178000,113500,113500,113500,0,0,113500,0,0.0
chimera_mgw-c8-439-onc8-001.lp,10,1,1,4,3,11,normalized_only,,405.0,405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.235050183
crossdock_15x8.lp,10,1,1,2,2,8,improve_only,16351.0,,16351.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.01991638
chimera_mis-02.lp,10,1,1,2,4,10,improve_only,,391.6,391.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.622622909
chimera_mgw-c8-507-onc8-01.lp,10,0,1,2,2,12,improve_only,,492.0,492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.178093229
chimera_k64maxcut-01.lp,10,1,1,3,3,9,smart_only,,11.3,11.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.115954616
chimera_k64maxcut-02.lp,10,0,1,4,3,10,normalized_only,,14.2,14.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.16689651
chimera_mgw-c8-439-onc8-002.lp,10,1,1,0,3,12,full_block,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.28545781
chimera_mgw-c16-2031-01.lp,10,0,1,0,3,10,full_block,,1952.0,1952.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.051900498
ball_mk2_10.lp,10,0,0,baseline,0,11,baseline,0.0,,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10.005437576
ball_mk2_10.lp,10,1,1,5,3,9,old_block,0.0,,0.0,1,1,1,0,0,0,2664000,222000,222000,222000,0,0,222000,0,10.023151993
ball_mk4_10.lp,10,0,1,1,3,12,repair_only,-31.0,,-31.0,1,1,1,0,0,0,1032065,1,1,1,0,1,1,0,10.02223845
chimera_mgw-c8-507-onc8-02.lp,10,0,1,5,2,8,old_block,,494.0,494.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.263699691
chimera_selby-c8-onc8-02.lp,10,0,1,0,2,9,full_block,,167.7,167.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.064739295
chimera_selby-c8-onc8-02.lp,10,1,1,2,3,9,improve_only,,167.7,167.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.01617401
chimera_mis-01.lp,10,1,0,baseline,0,11,baseline,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.148558687
chimera_selby-c16-02.lp,10,0,1,0,4,10,full_block,,708.6,708.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.552022688
chimera_mis-01.lp,10,1,1,5,4,10,old_block,,380.4,380.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.563736243
graphpart_2g-0044-1601.lp,10,0,1,1,3,10,repair_only,-919798.0,,-919798.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.009490885
chimera_k64ising-01.lp,10,0,0,baseline,0,10,baseline,,11.5,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.02603842
chimera_rfr-01.lp,10,0,1,0,4,9,full_block,,1148.9,1148.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.195870843
chimera_mgw-c8-439-onc8-001.lp,10,0,1,4,2,8,normalized_only,,405.0,405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.291039518
graphpart_2g-0044-1601.lp,10,0,1,4,3,8,normalized_only,-919798.0,,-919798.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.005644834
ball_mk3_20.lp,10,0,1,3,4,8,smart_only,-7.0,,-7.0,1,1,1,0,0,0,3132760,23190,23190,0,0,12903,0,0,10.10624287
chimera_lga-02.lp,10,0,1,2,2,9,improve_only,,121.5,121.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.274398268
chimera_lga-01.lp,10,1,1,4,4,9,normalized_only,,129.7,129.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.305230323
ball_mk3_30.lp,10,1,1,3,3,10,smart_only,-2.0,,-2.0,1,1,1,0,0,0,2416820,45600,45600,0,0,22800,0,0,10.092274121
chimera_k64maxcut-01.lp,10,0,1,4,2,9,normalized_only,,11.3,11.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.126776472
ball_mk4_15.lp,10,1,1,2,4,8,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.067924535
chimera_mis-01.lp,10,0,1,3,2,12,smart_only,,380.2,380.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.594990958
chimera_mgw-c16-2031-01.lp,10,0,1,5,3,11,old_block,,1948.0,1948.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.741806971
chimera_selby-c8-onc8-01.lp,10,1,1,1,2,9,repair_only,,175.6,175.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.097922427
ball_mk4_15.lp,10,1,0,baseline,0,8,baseline,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.085426332
ball_mk3_30.lp,10,0,1,4,4,10,normalized_only,-8.0,,-8.0,1,1,1,0,0,0,2015887,63999,63999,0,0,63994,0,0,10.075871307
graphpart_2g-0044-1601.lp,10,0,1,2,2,10,improve_only,-919798.0,,-919798.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.009341342
ball_mk2_10.lp,10,1,1,0,3,11,full_block,0.0,,0.0,1,1,1,0,0,0,3156000,131500,131500,131500,0,0,131500,0,10.03032416
chimera_mgw-c8-507-onc8-01.lp,10,1,1,1,4,12,repair_only,,492.0,492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.04299729
chimera_k64maxcut-01.lp,10,0,1,1,2,8,repair_only,,14.1,14.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.231890617
ball_mk4_10.lp,10,0,1,4,4,12,normalized_only,-31.0,,-31.0,1,1,1,0,0,0,1344086,1,1,1,0,1,1,0,10.021397368
chimera_selby-c16-01.lp,10,1,1,2,3,8,improve_only,,700.7,700.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.137837705
chimera_mgw-c8-439-onc8-002.lp,10,1,1,4,3,12,normalized_only,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.258607624
chimera_mgw-c16-2031-02.lp,10,0,1,5,3,11,old_block,,1968.0,1968.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.763032482
chimera_mgw-c8-439-onc8-002.lp,10,1,0,baseline,0,12,baseline,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.186068036
chimera_k64ising-01.lp,10,1,1,4,2,10,normalized_only,,11.5,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.287168231
chimera_k64maxcut-01.lp,10,1,1,1,2,10,repair_only,,10.1,10.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.224441707
chimera_rfr-01.lp,10,0,1,1,4,11,repair_only,,1164.7,1164.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.03246103
chimera_mgw-c16-2031-02.lp,10,1,1,0,3,9,full_block,,1955.0,1955.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.206386564
chimera_mgw-c8-507-onc8-02.lp,10,1,1,3,3,9,smart_only,,493.0,493.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.138228103
ball_mk3_10.lp,10,0,1,3,4,12,smart_only,-8.0,,-8.0,1,1,1,0,0,0,3769802,28997,28997,0,0,28994,0,0,10.043809094
chimera_selby-c16-02.lp,10,1,1,5,4,9,old_block,,697.7,697.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.152280549
chimera_k64maxcut-01.lp,10,1,1,1,2,9,repair_only,,11.3,11.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.046842003
graphpart_2g-0055-0062.lp,10,1,1,0,4,12,full_block,-1218526.0,,-1218526.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.010590943
chimera_k64ising-01.lp,10,0,1,3,2,8,smart_only,,12.3,12.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.2947774
crossdock_15x8.lp,10,1,1,5,4,11,old_block,17027.0,,17027.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.052948997
chimera_selby-c8-onc8-01.lp,10,1,1,0,4,9,full_block,,175.6,175.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.114744279
chimera_k64ising-01.lp,10,1,1,2,3,9,improve_only,,9.7,9.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.289822874
chimera_lga-02.lp,10,1,1,5,2,8,old_block,,121.5,121.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.038606075
crossdock_15x8.lp,10,0,1,3,4,9,smart_only,2147483647.0,,2147483647.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.019105208
graphpart_2g-0044-1601.lp,10,0,1,2,4,10,improve_only,-919798.0,,-919798.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.007079578
chimera_rfr-02.lp,10,1,1,3,3,10,smart_only,,1125.9,1125.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.094672966
chimera_k64maxcut-02.lp,10,0,1,4,2,9,normalized_only,,9.3,9.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.095983976
chimera_mgw-c16-2031-01.lp,10,0,0,baseline,0,12,baseline,,1956.0,1956.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.178793307
chimera_selby-c16-01.lp,10,1,0,baseline,0,9,baseline,,707.3,707.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.203400644
chimera_k64maxcut-02.lp,10,1,1,0,4,9,full_block,,9.3,9.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.066341083
chimera_k64maxcut-02.lp,10,1,1,4,2,10,normalized_only,,14.2,14.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.041071639
chimera_mgw-c8-507-onc8-02.lp,10,0,0,baseline,0,8,baseline,,494.0,494.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.225804815
graphpart_2g-0055-0062.lp,10,0,1,5,2,9,old_block,-1237162.0,,-1237162.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.007153136
chimera_mis-01.lp,10,0,1,1,3,11,repair_only,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.143766147
ball_mk4_10.lp,10,0,1,3,3,11,smart_only,-3100.0,,-3100.0,1,1,1,0,0,0,1104108,1,1,1,0,1,1,0,10.027267796
ball_mk2_10.lp,10,0,1,4,2,10,normalized_only,0.0,,0.0,1,1,1,0,0,0,1698002,424500,424500,424500,0,0,424500,0,10.008206341
ball_mk2_30.lp,10,1,1,1,3,8,repair_only,0.0,,0.0,1,1,1,0,0,0,1512000,126000,126000,126000,0,0,126000,0,10.043420741
ball_mk3_20.lp,10,0,1,5,4,9,old_block,-10.0,,-10.0,1,1,1,0,0,0,2206310,104964,104964,0,0,52513,0,0,10.015464309
chimera_rfr-01.lp,10,1,0,baseline,0,9,baseline,,1148.9,1148.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.271466135
chimera_mis-02.lp,10,0,1,5,3,12,old_block,,392.8,392.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.06977815
ball_mk3_30.lp,10,0,1,2,2,11,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.005402525
chimera_mgw-c8-507-onc8-02.lp,10,1,1,1,3,9,repair_only,,493.0,493.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.228023047
ball_mk3_20.lp,10,1,1,2,2,10,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.008387496
ball_mk3_30.lp,10,0,1,1,3,10,repair_only,-2.0,,-2.0,1,1,1,0,0,0,2247220,42400,42400,0,0,21200,0,0,10.064897415
chimera_rfr-01.lp,10,0,1,4,2,12,normalized_only,,1166.1,1166.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.965814322
chimera_selby-c8-onc8-02.lp,10,1,1,4,3,8,normalized_only,,166.9,166.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.081921213
ball_mk3_30.lp,10,0,1,1,2,9,repair_only,-3.0,,-3.0,1,1,1,0,0,0,1656253,132500,132500,0,0,66250,0,0,0.0
chimera_k64maxcut-01.lp,10,1,1,5,2,11,old_block,,7.9,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.037052846
chimera_k64maxcut-02.lp,10,0,1,0,4,10,full_block,,14.2,14.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.167957858
chimera_rfr-02.lp,10,1,1,5,2,12,old_block,,1119.7,1119.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.243126689
ball_mk4_05.lp,10,1,1,2,2,11,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.006894662
ball_mk4_05.lp,10,1,1,4,4,10,normalized_only,-13.0,,-13.0,1,1,1,0,0,0,1840091,1,1,1,0,1,1,0,10.025769266
chimera_selby-c16-02.lp,10,1,1,5,3,11,old_block,,705.4,705.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.591390374
chimera_mis-01.lp,10,1,1,3,4,10,smart_only,,380.4,380.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.585295016
chimera_mgw-c8-507-onc8-01.lp,10,0,1,5,4,12,old_block,,492.0,492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.128404402
chimera_mgw-c8-507-onc8-02.lp,10,1,1,4,2,8,normalized_only,,494.0,494.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.181246399
chimera_selby-c8-onc8-02.lp,10,0,1,0,3,10,full_block,,167.5,167.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.034015906
chimera_k64maxcut-01.lp,10,0,1,0,3,11,full_block,,7.9,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.13336282
chimera_mis-01.lp,10,1,1,1,3,11,repair_only,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.057797931
chimera_mgw-c8-507-onc8-02.lp,10,0,1,3,2,10,smart_only,,492.0,492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.032260153
chimera_selby-c8-onc8-01.lp,10,1,1,1,2,12,repair_only,,174.6,174.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.16225304
ball_mk2_30.lp,10,0,0,baseline,0,10,baseline,0.0,,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10.012384592
crossdock_15x8.lp,10,0,1,3,4,11,smart_only,2147483647.0,,2147483647.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.019719462
chimera_selby-c8-onc8-02.lp,10,0,1,1,2,8,repair_only,,167.2,167.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.097328342
chimera_mis-01.lp,10,0,1,5,2,11,old_block,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.170453281
chimera_lga-02.lp,10,1,1,4,3,11,normalized_only,,121.3,121.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.3502735
chimera_mgw-c8-439-onc8-001.lp,10,1,1,0,3,9,full_block,,403.0,403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.298751278
ball_mk3_20.lp,10,1,1,3,4,12,smart_only,-7.0,,-7.0,1,1,1,0,0,0,3183066,22497,22497,0,0,22487,0,0,10.137990869
chimera_mis-01.lp,10,1,1,5,2,11,old_block,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.078148149
ball_mk3_10.lp,10,1,1,4,4,10,normalized_only,-10.0,,-10.0,1,1,1,0,0,0,3333319,95245,95245,0,0,47641,0,0,10.024141762
graphpart_2g-0055-0062.lp,10,0,1,5,4,9,old_block,-1237162.0,,-1237162.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.011876161
chimera_mis-02.lp,10,1,1,2,4,8,improve_only,,390.8,390.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.612077597
chimera_k64maxcut-02.lp,10,1,1,1,3,10,repair_only,,14.2,14.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.042672267
crossdock_15x8.lp,10,0,1,1,3,8,repair_only,16827.0,,16827.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.160789554
ball_mk3_10.lp,10,0,1,1,2,11,repair_only,-3.0,,-3.0,1,1,1,0,0,0,2840015,283995,283995,0,0,141997,0,0,10.017094757
chimera_mgw-c16-2031-02.lp,10,0,1,2,4,12,improve_only,,1962.0,1962.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.091422245
chimera_selby-c16-01.lp,10,1,1,5,4,8,old_block,,700.7,700.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.246287779
chimera_mis-02.lp,10,0,1,2,4,9,improve_only,,391.8,391.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.604719457
chimera_selby-c16-02.lp,10,1,1,0,4,10,full_block,,708.6,708.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.552997512
chimera_mis-01.lp,10,1,1,2,2,8,improve_only,,381.4,381.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.460731008
chimera_k64ising-01.lp,10,1,1,5,3,9,old_block,,9.7,9.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.132657011
graphpart_2g-0044-1601.lp,10,1,1,4,3,11,normalized_only,-919798.0,,-919798.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.007538621
chimera_mgw-c8-439-onc8-002.lp,10,1,1,2,2,8,improve_only,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.279076046
ball_mk3_10.lp,10,1,1,2,2,9,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.004408037
chimera_mis-02.lp,10,0,1,1,2,11,repair_only,,394.4,394.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.651695195
ball_mk4_05.lp,10,1,1,4,3,10,normalized_only,-13.0,,-13.0,1,1,1,0,0,0,1827034,1,1,1,0,1,1,0,10.01440217
chimera_lga-01.lp,10,0,1,4,4,8,normalized_only,,131.1,131.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.779225845
chimera_rfr-01.lp,10,0,1,2,4,8,improve_only,,1155.9,1155.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.412711275
ball_mk3_10.lp,10,0,1,2,2,9,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.006561414
chimera_mis-02.lp,10,1,1,3,3,10,smart_only,,391.6,391.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.337459367
chimera_mis-02.lp,10,1,1,2,4,11,improve_only,,394.4,394.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.488926108
ball_mk3_20.lp,10,0,1,0,4,8,full_block,-7.0,,-7.0,1,1,1,0,0,0,3005769,22238,22238,0,0,12379,0,0,10.043323619
chimera_mgw-c16-2031-02.lp,10,1,0,baseline,0,12,baseline,,1962.0,1962.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.777340519
chimera_mgw-c16-2031-02.lp,10,0,1,4,4,8,normalized_only,,1960.0,1960.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.838311454
chimera_mgw-c16-2031-02.lp,10,0,1,5,2,8,old_block,,1960.0,1960.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.814313379
chimera_mis-01.lp,10,1,1,2,3,8,improve_only,,381.4,381.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.148454779
chimera_mis-01.lp,10,1,1,4,3,11,normalized_only,,381.2,381.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.256072413
chimera_mgw-c8-439-onc8-001.lp,10,1,1,5,3,11,old_block,,405.0,405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.032651921
ball_mk2_30.lp,10,1,1,2,3,12,improve_only,0.0,,0.0,1,1,1,0,0,0,84,0,0,0,0,0,0,0,10.008603687
chimera_selby-c8-onc8-02.lp,10,0,1,1,3,8,repair_only,,166.9,166.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.158744535
chimera_selby-c8-onc8-01.lp,10,1,1,5,3,11,old_block,,175.4,175.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.029106373
ball_mk3_30.lp,10,0,1,0,2,10,full_block,-3.0,,-3.0,1,1,1,0,0,0,1587503,127000,127000,0,0,63500,0,0,10.023011413
chimera_mgw-c8-439-onc8-001.lp,10,0,1,3,4,11,smart_only,,405.0,405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.259673252
chimera_selby-c16-01.lp,10,0,1,4,4,9,normalized_only,,707.3,707.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.204227011
chimera_mgw-c16-2031-02.lp,10,0,1,4,4,10,normalized_only,,1957.0,1957.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.926507581
chimera_selby-c8-onc8-01.lp,10,1,1,0,3,9,full_block,,175.6,175.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.114198657
graphpart_2g-0055-0062.lp,10,1,1,5,2,9,old_block,-1116960.0,,-1116960.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.011317961
chimera_mis-01.lp,10,0,1,0,4,10,full_block,,380.4,380.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.647077667
ball_mk3_10.lp,10,0,1,2,4,12,improve_only,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.003693378
chimera_selby-c16-01.lp,10,0,1,2,2,10,improve_only,,700.6,700.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.576266077
chimera_mis-02.lp,10,1,1,2,2,8,improve_only,,390.8,390.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.282104059
chimera_mgw-c16-2031-01.lp,10,1,1,2,3,10,improve_only,,1952.0,1952.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0828905
ball_mk4_10.lp,10,1,1,4,4,12,normalized_only,-31.0,,-31.0,1,1,1,0,0,0,1384090,1,1,1,0,1,1,0,10.029582525
ball_mk2_30.lp,10,1,1,1,3,9,repair_only,0.0,,0.0,1,1,1,0,0,0,1458000,121500,121500,121500,0,0,121500,0,10.015423297
crossdock_15x8.lp,10,1,1,4,2,11,normalized_only,17027.0,,17027.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.18346485
chimera_mgw-c16-2031-02.lp,10,0,1,1,2,12,repair_only,,1962.0,1962.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.908535588
ball_mk2_30.lp,10,1,1,0,3,11,full_block,0.0,,0.0,1,1,1,0,0,0,1872000,78000,78000,78000,0,0,78000,0,10.037341833
